program,total_units,code,name
Master of Arts in Marriage and Family Therapy,30,MFT 6816,School Counseling Seminar
Master of Arts in Marriage and Family Therapy,30,MFT 6817,Play Therapy
Master of Arts in Marriage and Family Therapy,30,MFT 6818,Current Trends in the Field of Family
Master of Arts in Marriage and Family Therapy,30,MFT 6820,Substance Abuse and Childhood
Master of Arts in Marriage and Family Therapy,30,MFT 6825,Mindfulness Based-play Family
Master of Arts in Marriage and Family Therapy,30,MFT 6810,Master�s Thesis I
Master of Arts in Marriage and Family Therapy,30,MFT 6811,Master�s Thesis II
Master of Business Administration (MBA),31,FIN 6010,Investments
Master of Business Administration (MBA),31,FIN 6030,International Financial Markets
Master of Business Administration (MBA),31,FIN 6040,Information Systems Applications in
Master of Business Administration (MBA),31,FIN 6810,Climate Finance and Emerging
Master of Business Administration (MBA),31,GSE 6010,Global Social Sustainable
Master of Business Administration (MBA),31,GSE 6030,Development of Social Sustainable
Master of Business Administration (MBA),31,GSE 6040,Sustainable Enterprise Funding and
Master of Business Administration (MBA),31,GSE 6890,Project Practicum
Master of Business Administration (MBA),31,BUS 6050,Total Quality Management
Master of Business Administration (MBA),31,MGT 6010,Human Resource Management
Master of Business Administration (MBA),31,MGT 6020,Human Resource Development
Master of Business Administration (MBA),31,MGT 6030,Labour Relations Management
Master of Business Administration (MBA),31,MKT 6010,Marketing Communications Strategy
Master of Business Administration (MBA),31,MKT 6020,Marketing Research
Master of Business Administration (MBA),31,MKT 6040,Global Marketing Strategy
Master of Business Administration (MBA),31,MKT 6050,Information Systems Applications in
Master of Business Administration (MBA),31,BUS 6120,Strategic Responses to Turbulent
Master of Business Administration (MBA),31,BUS 6140,Management of Technological
Master of Business Administration (MBA),31,BUS 6150,Contributors to Strategic
Master of Business Administration (MBA),31,GMB 6010,Global Strategic Management
Master of Business Administration (MBA),31,GMB 6020,Management of Global
Master of Business Administration (MBA),31,GMB 6040,International Financial Markets
Master of Business Administration (MBA),31,GMB 6055,International Business and Trade
Master of Business Administration (MBA),31,GMB 6230,Global Study Tour
Master of Business Administration (MBA),31,MBH 6010,Organisation Theory in the Health
Master of Business Administration (MBA),31,MBH 6020,Project Management and
Master of Business Administration (MBA),31,MBH 6040,Health Management Information
Master of Business Administration (MBA),31,MBH 6070,Strategic Human Resource
Master of Business Administration (MBA),31,GMB 6230,Global Study Tour
Master of Business Administration (MBA),31,MDA 6460,Business Analytics
Master of Business Administration (MBA),31,SDE 6030,Sustainable Procurement and
Master of Business Administration – Global Business Management,12,GMB 6010,Global Strategic Management
Master of Business Administration – Global Business Management,12,GMB 6020,Management of Global Organizations
Master of Business Administration – Global Business Management,12,GMB 6030,International Business Strategy
Master of Business Administration – Global Business Management,12,GMB 6040,International Financial Markets
Master of Business Administration – Global Business Management,12,GMB 6050,Global Supply Chain Management
Master of Business Administration – Global Business Management,12,GMB 6055,International Business and Trade
Master of Business Administration – Global Business Management,12,GMB 6060,Cross-Cultural Management
Master of Business Administration – Global Business Management,12,GMB 6070,Global Marketing Strategy
Master of Business Administration – Global Business Management,12,GMB 6080,Global Entrepreneurship
Master of Business Administration – Global Business Management,12,GMB 6090,Research Methods in Global Business
Master of Business Administration – Global Business Management,12,GMB 6100,Global Business Seminar
Master of Business Administration – Global Business Management,12,GMB 6110,Capstone: Global Business Strategy
Master of Business Administration – Health Leadership & Management,12,MBH 6010,Organisation Theory in Health
Master of Business Administration – Health Leadership & Management,12,MBH 6015,Health Systems and Economics
Master of Business Administration – Health Leadership & Management,12,MBH 6020,Project Management and Leadership
Master of Business Administration – Health Leadership & Management,12,MBH 6025,Health Policy and Governance
Master of Business Administration – Health Leadership & Management,12,MBH 6030,Healthcare Financial Management
Master of Business Administration – Health Leadership & Management,12,MBH 6040,Health Management Information Systems
Master of Business Administration – Health Leadership & Management,12,MBH 6050,Quality and Patient Safety
Master of Business Administration – Health Leadership & Management,12,MBH 6060,Human Resources in Healthcare
Master of Business Administration – Health Leadership & Management,12,MBH 6070,Strategic Human Resource Development
Master of Business Administration – Health Leadership & Management,12,MBH 6080,Healthcare Marketing and Communications
Master of Business Administration – Health Leadership & Management,12,MBH 6090,Research Methods in Health Management
Master of Business Administration – Health Leadership & Management,12,MBH 6100,Capstone: Healthcare Leadership
Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6010,Advanced Pharmacology
Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6020,Clinical Therapeutics I
Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6030,Clinical Therapeutics II
Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6040,Pharmacokinetics and Pharmacodynamics
Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6050,Drug Development and Regulation
Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6060,Clinical Drug Interactions
Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6070,Pharmacogenomics
Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6080,Research Methods in Pharmacology
Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6090,Evidence-Based Practice
Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6100,Clinical Pharmacy Practicum
Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6110,Advanced Topics in Pharmacology
Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6200,Master's Thesis I
Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6210,Master's Thesis II
Master of Science in Data Science and Analytics (Online only),15,MDA 6410,Advanced Machine Learning
Master of Science in Data Science and Analytics (Online only),15,MTH 6420,Graph Analytics
Master of Science in Data Science and Analytics (Online only),15,MDA 6430,Data Mining and Warehousing
Master of Science in Data Science and Analytics (Online only),15,STA 6510,Multivariate Methods
Master of Science in Data Science and Analytics (Online only),15,MTH 6520,Optimization and Simulation
Master of Science in Data Science and Analytics (Online only),15,MDA 6410,Advanced Machine Learning
Master of Science in Data Science and Analytics (Online only),15,MTH 6420,Graph Analytics
Master of Science in Data Science and Analytics (Online only),15,MDA 6430,Data Mining and Warehousing
Master of Science in Data Science and Analytics (Online only),15,MDA 6450,DevOps
Master of Science in Data Science and Analytics (Online only),15,MDA 6530,Software Design and Architecture
Master of Science in Data Science and Analytics (Online only),15,MDA 6460,Business Analytics
Master of Science in Data Science and Analytics (Online only),15,MDA 6470,Fraud Detection Analytics
Master of Science in Data Science and Analytics (Online only),15,MDA 6480,Text Analytics
Master of Science in Data Science and Analytics (Online only),15,MDA 6550,Finance and Risk Management
Master of Science in Data Science and Analytics (Online only),15,MDA 6560,Geo-Intelligence/ Spatial Analytics
Master of Science in Global Banking & Finance,13,FIN 6010,Global Financial Markets
Master of Science in Global Banking & Finance,13,FIN 6020,International Banking
Master of Science in Global Banking & Finance,13,FIN 6030,Foreign Exchange Management
Master of Science in Global Banking & Finance,13,FIN 6040,International Trade Finance
Master of Science in Global Banking & Finance,13,FIN 6050,Risk Management in Banking
Master of Science in Global Banking & Finance,13,FIN 6060,Portfolio Management
Master of Science in Global Banking & Finance,13,FIN 6070,Derivatives and Hedging
Master of Science in Global Banking & Finance,13,FIN 6080,Financial Regulation and Compliance
Master of Science in Global Banking & Finance,13,FIN 6090,Research Methods in Finance
Master of Science in Global Banking & Finance,13,FIN 6100,Banking and Finance Practicum
Master of Science in Global Banking & Finance,13,FIN 6150,Finance Capstone Project
Master of Science in Global Banking & Finance,13,FIN 6200,Master's Thesis I
Master of Science in Global Banking & Finance,13,FIN 6210,Master's Thesis II
Master of Science in Information Security,13,ISC 6010,Cybersecurity Fundamentals
Master of Science in Information Security,13,ISC 6020,Network Security and Management
Master of Science in Information Security,13,ISC 6030,Cryptography
Master of Science in Information Security,13,ISC 6040,Incident Response and Forensics
Master of Science in Information Security,13,ISC 6050,Secure Software Development
Master of Science in Information Security,13,ISC 6060,IT Risk Management
Master of Science in Information Security,13,ISC 6070,Compliance and Privacy Regulations
Master of Science in Information Security,13,ISC 6080,Advanced Threats and Vulnerabilities
Master of Science in Information Security,13,ISC 6090,Security Architecture and Design
Master of Science in Information Security,13,ISC 6100,Security Practicum
Master of Science in Information Security,13,ISC 6150,Security Capstone Project
Master of Science in Information Security,13,ISC 6200,Master's Thesis I
Master of Science in Information Security,13,ISC 6210,Master's Thesis II
Master of Science in Information Systems & Technology,13,IST 6010,Advanced Database Systems
Master of Science in Information Systems & Technology,13,IST 6020,Enterprise Systems Architecture
Master of Science in Information Systems & Technology,13,IST 6030,IT Project Management
Master of Science in Information Systems & Technology,13,IST 6040,IT Strategic Planning
Master of Science in Information Systems & Technology,13,IST 6050,Systems Analysis and Design
Master of Science in Information Systems & Technology,13,IST 6060,Business Process Management
Master of Science in Information Systems & Technology,13,IST 6070,Data Analytics for Business
Master of Science in Information Systems & Technology,13,IST 6080,Research Methods in IS
Master of Science in Information Systems & Technology,13,IST 6090,IT Governance
Master of Science in Information Systems & Technology,13,IST 6100,IS Practicum
Master of Science in Information Systems & Technology,13,IST 6150,Capstone Project I
Master of Science in Information Systems & Technology,13,IST 6200,Master's Thesis I
Master of Science in Information Systems & Technology,13,IST 6210,Master's Thesis II
Master of Science in Information Systems Technology,24,BIS 6120,Knowledge Management Systems
Master of Science in Information Systems Technology,24,BIS 6130,Management and Economics of
Master of Science in Information Systems Technology,24,BIS 6150,Enterprise Systems
Master of Science in Information Systems Technology,24,TMC 6130,Cloud Computing and Virtualization
Master of Science in Information Systems Technology,24,MIS 6851,Information Systems Project I
Master of Science in Information Systems Technology,24,MIS 6852,Information Systems Project II
Master of Science in Information Systems Technology,24,ISC 6110,Network Security and Management
Master of Science in Information Systems Technology,24,ISC 6120,Advanced Information Systems
Master of Science in Information Systems Technology,24,ISC 6130,Computer Forensics and Cybercrime
Master of Science in Information Systems Technology,24,ISC 6140,IT Security Techniques and Incident
Master of Science in Information Systems Technology,24,MIS 6851,Information Systems Project I
Master of Science in Information Systems Technology,24,MIS 6852,Information Systems Project II
Master of Science in Information Systems Technology,24,SWE 6110,Principles of Software Engineering
Master of Science in Information Systems Technology,24,SWE 6120,Human Computer Interface
Master of Science in Information Systems Technology,24,SWE 6130,Mobile Applications Development
Master of Science in Information Systems Technology,24,SWE 6140,Group Work in Large Scale Software
Master of Science in Information Systems Technology,24,MIS 6851,Information Systems Project I
Master of Science in Information Systems Technology,24,MIS 6852,Information Systems Project II
Master of Science in Information Systems Technology,24,TMC 6110,Broadband Network Architectures
Master of Science in Information Systems Technology,24,TMC 6120,Digital Mobile Communications
Master of Science in Information Systems Technology,24,TMC 6130,Cloud Computing and Virtualization
Master of Science in Information Systems Technology,24,TMC 6140,Cryptography and Network Security
Master of Science in Information Systems Technology,24,MIS 6851,Information Systems Project I
Master of Science in Information Systems Technology,24,MIS 6852,Information Systems Project II
Master of Science in Management & Organizational Development,13,MOD 6010,Organization Theory and Design
Master of Science in Management & Organizational Development,13,MOD 6020,Organizational Change Management
Master of Science in Management & Organizational Development,13,MOD 6030,Human Resource Development
Master of Science in Management & Organizational Development,13,MOD 6040,Leadership Development
Master of Science in Management & Organizational Development,13,MOD 6050,Performance Management Systems
Master of Science in Management & Organizational Development,13,MOD 6060,Organizational Culture and Climate
Master of Science in Management & Organizational Development,13,MOD 6070,Strategic Planning for Organizations
Master of Science in Management & Organizational Development,13,MOD 6080,Research Methods in OD
Master of Science in Management & Organizational Development,13,MOD 6090,Consulting and Intervention
Master of Science in Management & Organizational Development,13,MOD 6100,OD Practicum
Master of Science in Management & Organizational Development,13,MOD 6110,Advanced OD Topics
Master of Science in Management & Organizational Development,13,MOD 6200,Master's Thesis I
Master of Science in Management & Organizational Development,13,MOD 6210,Master's Thesis II
The goal of the Bachelor of Technology in,20,IST 2010,Computer Organisation and Assembly
The goal of the Bachelor of Technology in,20,IST 2045,Introduction to Computer Networks
The goal of the Bachelor of Technology in,20,IST 1025,Introduction to Programming
The goal of the Bachelor of Technology in,20,IST 2060,Data Structures and Algorithms
The goal of the Bachelor of Technology in,20,IST 3005,Application of Social Media for
The goal of the Bachelor of Technology in,20,IST 3015,Business Data Analytics
The goal of the Bachelor of Technology in,20,IST 3020,Principles of Operating Systems
The goal of the Bachelor of Technology in,20,IST 3040,Digital Lab
The goal of the Bachelor of Technology in,20,IST 3050,Introduction to Security Systems
The goal of the Bachelor of Technology in,20,IST 4020,Systems Analysis and Design
The goal of the Bachelor of Technology in,20,IST 4030,Database Management Systems
The goal of the Bachelor of Technology in,20,IST 4035,Advanced Web Design and
The goal of the Bachelor of Technology in,20,IST 4040,Decision Analysis
The goal of the Bachelor of Technology in,20,IST 4060,Telecommunications and Networks
The goal of the Bachelor of Technology in,20,IST 4070,Object-Oriented Programming
The goal of the Bachelor of Technology in,20,IST 4072,Object Oriented Analysis and Design
The goal of the Bachelor of Technology in,20,IST 4075,Mobile Applications Development
The goal of the Bachelor of Technology in,20,IST 4078,IT Innovation and Entrepreneurship
The goal of the Bachelor of Technology in,20,IST 4900,Information Technology Project
The goal of the Bachelor of Technology in,20,IST 4910,Information Systems Internship
The philosophy of the Bachelor of Science in,26,IST 1025,Introduction to Programming
The philosophy of the Bachelor of Science in,26,APT 1040,Introduction to Web design and
The philosophy of the Bachelor of Science in,26,APT 1050,Database Systems
The philosophy of the Bachelor of Science in,26,SWE 1020,Data Structure analysis and algorithms
The philosophy of the Bachelor of Science in,26,IST 2010,Computer Organization and Assembly
The philosophy of the Bachelor of Science in,26,APT 2040,Operating Systems
The philosophy of the Bachelor of Science in,26,APT 2050,Computer Networks and
The philosophy of the Bachelor of Science in,26,APT 3040,Object Oriented Analysis Design and
The philosophy of the Bachelor of Science in,26,IST 3050,Introduction to Security Systems
The philosophy of the Bachelor of Science in,26,AIR 2010,Introduction to Robotics
The philosophy of the Bachelor of Science in,26,AIR 2040,Real-Time Software Engineering
The philosophy of the Bachelor of Science in,26,AIR 3010,Design of Real-Time Systems
The philosophy of the Bachelor of Science in,26,AIR 3060,Robotics Applications Programming
The philosophy of the Bachelor of Science in,26,AIR 3080,Artificial Intelligence and Robotics
The philosophy of the Bachelor of Science in,26,APT 3010,Introduction to Artificial Intelligence
The philosophy of the Bachelor of Science in,26,APT 3025,Applied Machine Learning
The philosophy of the Bachelor of Science in,26,DST 4020,Mobile Computing
The philosophy of the Bachelor of Science in,26,AIR 4010,Deep Learning and Computer Vision
The philosophy of the Bachelor of Science in,26,AIR 4020,Human-Robot Interaction
The philosophy of the Bachelor of Science in,26,AIR 4040,Reinforcement learning for robotics
The philosophy of the Bachelor of Science in,26,AIR 4050,Intelligent Multi-Agent Systems
The philosophy of the Bachelor of Science in,26,AIR 4060,Engineering and Informatics Ethics and
The philosophy of the Bachelor of Science in,26,AIR 4070,Robotics Design
The philosophy of the Bachelor of Science in,26,AIR 4080,Industrial Automation and Robotics
The philosophy of the Bachelor of Science in,26,AIR 4090,Speech and Natural Language
The philosophy of the Bachelor of Science in,26,AIR 4910,Artificial Intelligence and Robotics
Upon successful completion of the Bachelor of,34,ACT 1010,Principles of Accounting I
Upon successful completion of the Bachelor of,34,ECO 1015,Introduction to Economics
Upon successful completion of the Bachelor of,34,GLG 1010,Introduction to Leadership
Upon successful completion of the Bachelor of,34,BUS 1010,Introduction to Business
Upon successful completion of the Bachelor of,34,GLG 2000,Marketing for Business Leaders
Upon successful completion of the Bachelor of,34,GLG 2010,Psychology of Leadership
Upon successful completion of the Bachelor of,34,BUS 2020,Business Communications
Upon successful completion of the Bachelor of,34,GLG 2080,Human Rights and Labour
Upon successful completion of the Bachelor of,34,BUS 3010,Business Law
Upon successful completion of the Bachelor of,34,FIN 3010,Principles of Finance
Upon successful completion of the Bachelor of,34,GLG 3010,Leadership and Organization
Upon successful completion of the Bachelor of,34,MGT 3010,Principles of Management
Upon successful completion of the Bachelor of,34,GLG 3020,Policy Formulation & Analysis
Upon successful completion of the Bachelor of,34,GLG 4020,Sustainable Social Entrepreneurship
Upon successful completion of the Bachelor of,34,GLG 4030,Communication and Conflict
Upon successful completion of the Bachelor of,34,MGT 4030,Cross Cultural Management
Upon successful completion of the Bachelor of,34,MGT 4040,Human Resources Management
Upon successful completion of the Bachelor of,34,GLG 4090,Global Leadership and Management
Upon successful completion of the Bachelor of,34,BUS 4090,Strategic Management
Upon successful completion of the Bachelor of,34,GLG 4910,Global Leadership and Governance
Upon successful completion of the Bachelor of,34,BUS 4005,Project Management
Upon successful completion of the Bachelor of,34,BUS 4015,Supply Chain Management
Upon successful completion of the Bachelor of,34,ENT 4020,Management of Entrepreneurial
Upon successful completion of the Bachelor of,34,FIN 4030,Investments
Upon successful completion of the Bachelor of,34,BUS 4000,Corporate Law
Upon successful completion of the Bachelor of,34,FIN 4020,Corporate Finance
Upon successful completion of the Bachelor of,34,GLG 4040,Board Leadership and Governance
Upon successful completion of the Bachelor of,34,GLG 4045,Risk Management
Upon successful completion of the Bachelor of,34,MGT 4050,Total Quality Management
Upon successful completion of the Bachelor of,34,FIN 4015,Public Finance and Budgeting
Upon successful completion of the Bachelor of,34,GLG 4015,Constitutional and Administrative
Upon successful completion of the Bachelor of,34,GLG 4075,Politics and Administration
Upon successful completion of the Bachelor of,34,GLG 4080,Global Leadership and Democracy
Upon successful completion of the Bachelor of,34,GLG 4085,Advocacy and Lobbying
